id,user_id,date,symbol,trade_type,broker,strategy,entry_price,exit_price,size,stop_loss,take_profit,pnl,notes,screenshot,risk_reward
101demo,demo,2024-04-01,BTCUSD,long,Binance,Support Bounce,64250.5,65750.25,0.1,63500.0,67000.0,150.0,Bitcoin bounced exactly at the support zone. Multiple timeframe confirmation.,btc_support_bounce.png,
102demo,demo,2024-04-02,EURUSD,long,XM,Breakout,1.0725,1.0792,1.0,1.069,1.083,67.0,Strong breakout above resistance with increased volume. Took profits at R:R 2:1.,eurusd_breakout.png,
103demo,demo,2024-04-03,AAPL,short,IBKR,Double Top,169.75,165.3,5.0,171.5,164.0,222.5,Clear double top pattern with divergence on RSI. Textbook setup.,aapl_double_top.png,
104demo,demo,2024-04-04,GBPJPY,long,Oanda,Trend Continuation,189.5,190.75,0.5,188.75,192.0,62.5,Pullback to the 20EMA in an uptrend. Price action confirmed with bullish engulfing candle.,gbpjpy_trend.png,
105demo,demo,2024-04-05,TSLA,short,IBKR,Head and Shoulders,175.25,168.4,2.0,178.5,165.0,137.0,Clear head and shoulders pattern completed with neckline break. Volume increased on breakdown.,tsla_h_and_s.png,
106demo,demo,2024-04-08,XAUUSD,long,XM,Fibonacci Retracement,2320.75,2345.5,0.5,2305.0,2360.0,124.38,Gold pulled back to 0.618 Fibonacci level and held support. Added on confirmation candle.,gold_fib.png,
107demo,demo,2024-04-09,USDJPY,short,Oanda,Resistance Rejection,151.8,150.25,1.0,152.5,149.0,155.0,Strong rejection at major resistance level with bearish engulfing candle. Central bank intervention fears helped the move.,usdjpy_resistance.png,
108demo,demo,2024-04-10,AMZN,long,IBKR,Gap Up,180.25,183.5,3.0,178.5,185.0,97.5,Gap up after positive earnings. Bought on first pullback with support from VWAP.,amzn_gap.png,
109demo,demo,2024-04-11,ETHUSD,short,Binance,Bearish Divergence,3125.75,3050.2,0.25,3175.0,3000.0,18.89,RSI showed clear bearish divergence on 4H chart. Took half profits at first target.,eth_divergence.png,
110demo,demo,2024-04-12,SPY,long,IBKR,Trendline Bounce,500.25,504.5,10.0,498.0,507.0,425.0,Market bounced precisely off the ascending trendline with strong buying volume.,spy_trendline.png,
111demo,demo,2024-04-15,NVDA,long,IBKR,Cup and Handle,875.5,890.25,2.0,865.0,905.0,295.0,Textbook cup and handle pattern. Waited for breakout confirmation before entry.,nvda_cup_handle.png,
112demo,demo,2024-04-16,USDCAD,short,XM,Double Top,1.378,1.372,1.0,1.382,1.368,60.0,Double top at key resistance level. Sold on breakdown with confirmation.,usdcad_double_top.png,
113demo,demo,2024-04-17,META,long,IBKR,Breakout Retest,480.75,489.3,3.0,476.0,495.0,255.75,Breakout and successful retest of previous resistance. Strong bullish momentum after retest.,meta_breakout.png,
114demo,demo,2024-04-18,XAUUSD,short,XM,Overbought RSI,2380.25,2350.75,0.25,2395.0,2340.0,74.38,Gold extremely overbought on RSI with bearish divergence. Short-term correction trade.,gold_overbought.png,
115demo,demo,2024-04-19,NFLX,short,IBKR,Earnings Disappointment,590.5,545.25,2.0,610.0,540.0,90.5,Shorted after earnings missed expectations. Took profits at major support level.,nflx_earnings.png,
116demo,demo,2024-04-22,AUDUSD,long,Oanda,Triple Bottom,0.658,0.663,1.5,0.6555,0.666,75.0,Triple bottom pattern with increasing bullish momentum. Confirmation with break of minor resistance.,audusd_triple_bottom.png,
117demo,demo,2024-04-23,MSFT,long,IBKR,Trend Following,402.25,406.5,4.0,399.0,410.0,170.0,Bought pullback in strong uptrend. 20EMA acted as support.,msft_trend.png,
118demo,demo,2024-04-24,EURJPY,short,XM,Channel Breakdown,166.8,165.3,0.75,167.5,164.5,112.5,Price broke down from ascending channel with increased momentum.,eurjpy_channel.png,
119demo,demo,2024-04-25,SOLUSDT,long,Binance,Support Zone,145.25,156.5,25.0,140.0,160.0,283.13,Strong accumulation at key support zone. Volume analysis showed whales buying.,sol_support.png,
120demo,demo,2024-04-26,ES1!,short,IBKR,Rising Wedge,5125.5,5080.25,0.5,5150.0,5050.0,226.25,Futures broke down from rising wedge pattern. Added to position on retest of breakdown level.,es_wedge.png ,
3c5456dc-c002-458d-b1d2-d469e01d2683,demo,2025-04-24,BTC/USDT,long,3,5,3.0,5.0,5.0,5.0,5.0,10.0,Damn it,demo_3c5456dc-c002-458d-b1d2-d469e01d2683_2-Photoroom.png,1.0
80fc05d6-5c97-46a3-bec6-b39e8632fe4a,3ebd7983-1e7f-42d2-8fa7-58760b33ce93,2025-04-16,BTC/USDT,long,Binance,Breakout,900.0,900.0,900.0,900.0,900.0,0.0,,,
